	0
V_0	1.5347896587009902
V_1	3.2782057270214713
V_2	3.365062500501126
V_3	3.615688864054679
V_4	2.410663073957028
V_5	3.349313882370452
V_6	2.2674210327058555
V_7	1.788790061924996
V_8	2.16410431214579
V_9	2.6734879317622875
V_10	4.652290550302206
V_11	3.9799511622964516
V_12	4.109358441510503
V_13	3.872651318639642
V_14	3.0339970796219538
V_15	2.6751226923361044
V_16	4.549749468108017
V_17	3.720933695653103
V_18	4.533913625837099
V_19	3.675959564474927
V_20	4.10679061292622
V_21	3.827993489691325
V_22	3.7647927403016404
V_23	2.053745677885208
V_24	2.533631352365967
V_25	3.247017641883624
V_26	4.927446235503504
V_27	8.34914565939218
V_28	3.487724157360022
V_29	8.507649903805962
V_30	3.7879913701102224
V_31	3.8519949078654623
V_32	2.845339785070231
V_33	4.130257748407297
V_34	6.155854221645112
V_35	0.7898673194853527
V_36	3.5789137498252375
V_37	4.0283909602179335
V_38	3.7991130560761666
V_39	4.912638792945772
V_40	8.50502777873213
V_41	3.0387508961060794
V_42	4.926907096694386
V_43	3.4526558957004294
V_44	7.169050200026557
V_45	4.2109750756127635
V_46	4.813666143668833
V_47	2.6747466903951818
V_48	4.898552039759532
V_49	3.69795094291449
V_50	3.1671211249429763
V_51	7.828976686527353
V_52	5.5273507891803435
V_53	5.420504206279409
V_54	9.606761047238248
V_55	4.2825792306808665
V_56	4.391285368612645
V_57	5.145559639275797
V_58	3.937155046298745
V_59	4.720215718111064
V_60	5.05480999332216
V_61	4.6927478144427965
V_62	6.51726183824746
V_63	8.11411367232984
V_64	5.765326788017582
V_65	9.749182534664047
V_66	4.070912000161694
V_67	13.399339037955679
V_68	7.075591255112853
V_69	5.227016598124832
V_70	8.381041952258366
V_71	5.749784143280888
V_72	9.679973957838108
V_73	2.5335043686031833
V_74	6.374918435141998
V_75	6.779690402713171
V_76	4.646176720437799
V_77	11.985507061544215
V_78	2.9668608844299924
V_79	3.895162107082963
V_80	2.3635812955872963
V_81	7.01422046423752
V_82	6.55033995096272
V_83	7.788838100050988
V_84	9.458167703860829
V_85	4.818161252948147
V_86	5.243685977051276
V_87	12.110679648568809
V_88	10.350076968064238
V_89	2.6004939241106872
V_90	12.006818501717342
V_91	5.064055579207034
V_92	13.242810344331863
V_93	7.38429972575805
V_94	10.707853487835042
V_95	14.519528630839522
V_96	6.924319425491651
V_97	10.262421529453718
V_98	13.748238177387211
V_99	9.289948586072612
V_100	13.008007730454526
V_101	14.478712008039148
V_102	19.18040322148204
V_103	18.62689796220379
V_104	12.79404885230274
V_105	6.7751015434546185
V_106	16.291631546115767
V_107	11.969732231260995
V_108	18.14512337709936
V_109	12.066918242237879
V_110	13.680030396015617
V_111	9.312884512315492
V_112	33.301101700857416
V_113	15.033840891266692
V_114	20.230291891603784
V_115	5.187795959263341
V_116	19.849677853600305
V_117	12.813347761193349
V_118	22.99448290200469
V_119	4.262396419016264
V_120	17.146164538644236
V_121	11.232075095481058
V_122	1.2342981813536738
V_123	4.273111064703079
V_124	3.1825250113239827
V_125	2.605309244668273
V_126	1.1210916947366663
V_127	1.1304221234880414
V_128	2.1808303250256302
V_129	2.2513363431135724
V_130	1.4517548507367077
V_131	2.1044230225683953
V_132	0.8539720112236546
V_133	6.023061917239795
V_134	0.9119835889848613
V_135	1.3437467529806528
V_136	1.1757466220490556
V_137	1.0095780369900234
V_138	5.0170821362196225
V_139	3.424558738010589
V_140	4.737324449056797
V_141	5.602409859844222
V_142	5.135808396785505
V_143	1.5821568095281837
V_144	1.250255715308135
V_145	3.462875853383382
V_146	5.966542158853847
V_147	4.941237655303966
V_148	1.3477806213727157
V_149	3.222392897623157
V_150	1.0687285084110754
V_151	2.7055867792018145
V_152	3.8550513853064015
V_153	9.408061731793657
V_154	1.9341364164025456
V_155	4.1109261867502465
V_156	7.146999238299167
V_157	7.862568284673668
V_158	2.3798167333080906
V_159	3.6776587964166207
V_160	4.944668380930299
V_161	3.660562208296148
V_162	3.6863042168518083
V_163	6.96489951205393
V_164	3.1592422893029095
V_165	3.0180131809188797
V_166	5.068836824275606
V_167	6.683394139129458
V_168	1.3986595966848832
V_169	2.4985870320981434
V_170	3.059775124492709
V_171	7.0698179527308564
V_172	5.423273175144266
V_173	7.094747921217902
V_174	5.377716825379456
V_175	2.296523211408833
V_176	1.7531229999532485
V_177	5.564765729193623
V_178	5.482045971708901
V_179	2.1823241572221033
V_180	6.043014915257427
V_181	5.392258253213793
V_182	6.667414643372764
V_183	8.054130539204412
V_184	8.712647654420882
V_185	5.615085027009979
V_186	4.738075320205954
V_187	6.240127097867215
V_188	4.001803846946529
V_189	4.992383353966392
V_190	8.650226714864163
V_191	7.899601683254986
V_192	5.318867043758089
V_193	5.563190999226368
V_194	8.947969830329715
V_195	3.969173762767851
V_196	6.965161169499094
V_197	5.975183952368655
V_198	6.077157231903879
V_199	9.365029430868494
V_200	7.886197359843278
V_201	11.141807120458001
V_202	7.064844401820819
V_203	6.849035682362065
V_204	7.695672918794027
V_205	12.748818632809662
V_206	7.163589266504655
V_207	10.084075718722527
V_208	9.865729386451857
V_209	7.505560166776235
V_210	14.938970490102147
V_211	11.765294781727315
V_212	12.333807985564345
V_213	11.357564300318561
V_214	15.364623068550936
V_215	10.45962534745626
V_216	8.301021772394927
V_217	13.294127628747606
V_218	10.490777224122898
V_219	7.943109884454918
V_220	12.376504604171817
V_221	10.72850161106243
V_222	13.0489033694195
V_223	5.608040491478117
V_224	12.762340204338402
V_225	11.561960398156852
V_226	14.95237539605468
V_227	12.92888724286658
V_228	14.600409186928069
V_229	12.095646205496276
V_230	11.351143254435911
V_231	7.188968137061213
V_232	11.766866319159886
V_233	11.010830748970129
